external_id,front_text,back_text
0701,entreprises,companies
0702,montre; montré; montrent,show
0703,formes,forms
0704,peau,skin
0705,termes,terms
0706,code,coded
0707,perdu; perdue; perdus; perdues; perdit,lost
0708,idées,ideas
0709,davantage,any further
0711,police,police
0712,mode,fashion
0714,national; nationale; nationaux; nationales,national
0715,information; informations,information
0716,soudain,suddenly
0717,dehors,out
0718,demi; demie,half
0719,outre,outraged
0720,aussitôt,right away
0721,propres,clean
0722,champ,field
0723,travaux,works
0724,impossible,impossible
0725,population,population
0726,hôtel; hotel,hotel
0727,bientôt,soon
0728,filles,girls
0729,double; doubles,double
0731,nombreuses,many
0732,livres,books
0733,carte,map
0734,mariage,wedding
0735,connaître,to know
0736,énergie,energy
0737,absence,absence
0739,troisième,third
0740,arrivée,arrival
0741,page,page
0742,république,republic
0743,rencontre; rencontré; rencontrent,meet
0744,appel,call
0745,semaine,week
0746,gestion,management
0747,trouvé; trouvée; trouvés; trouves; trouvait; trouvais; trouva; trouvai; trouvaient; trouvèrent,found
0748,tableau,picture
0749,visite,visit
0750,retrouver,to regain
0751,environ,about
0752,voulu,desired
0753,attendre,expect
0754,lettres,letters
0755,juge,judge
0756,courant,running
0757,publique; publics; publiques,public
0758,décembre,December
0759,janvier,January
0760,règles,rules
0761,moindre; moindres,lesser
0762,delà,of the
0763,paix,peace
0764,régime,regime
0765,points,points
0766,problèmes,problems
0767,accès,access
0768,tenir; tiennent; tenez,hold
0769,tôt,early
0770,unique,unique
0772,doigts,fingers
0773,aider,to help
0774,bonheur,happiness
0776,éviter,to avoid
0777,ouvrage,work
0778,classe,class
0779,suivant; suivante; suivants,next
0780,septembre,September
0781,anglais; anglaise,English
0782,source,source
0783,ministre,minister
0784,lieux,premises
0785,approche,approach
0786,forces,strengths
0787,large; larges,wide
0788,foi,faith
0789,manque; manqué,lack
0790,eh; hé,hey
0791,avril,April
0792,octobre,October
0793,bruit,noise
0795,café,coffee
0796,faits,facts
0798,Afrique,Africa
0799,parties,parts
0801,offre; offrent,offer
0802,éducation; education,education
0803,demandé,demand
0804,merci,thank you
0805,puissance,powerful
0806,août,August
0807,huit,eight
0808,autorité,authority
0809,évolution,evolution
0810,date,date
0811,combien,how many
0812,avis,notice
0813,regarde; regarda; regardai; regardèrent,looked
0814,journal,log
0815,allez,come on
0817,mission,assignment
0818,sauf,except
0819,entrer,walk in
0820,union,union
0821,emploi,use
0822,suivre; suivent; suivez,follow
0823,jouer,to play
0824,cent,hundred
0825,humain; humaine; humaines,human
0826,chance,chance
0827,usage,use
0828,contrat,contract
0829,verre,glass
0830,taille,cut
0831,site,site
0832,sept,seven
0833,connu; connue; connus; connues,known
