external_id,front_text,back_text
2002,domaines,areas
2003,construit; construite; construits,built
2004,artiste,artist
2006,estime; estimé,valued
2007,milliers,thousands
2008,établissements,establishments
2009,imagination,imagination
2010,classes,classes
2011,dynamique; dynamiques,dynamic
2013,réduire,reduce
2014,retourna; retournée,returned
2015,interdit; interdite; interdits,prohibited
2016,échec,failure
2017,patrimoine,inheritance
2018,indique; indiqué,noted
2020,appartient,belongs
2021,avantage,advantage
2022,soixante,sixty
2023,génération,generation
2024,souci; soucis,worry
2025,échanges,trades
2026,archives,archives
2027,présentation,presentation
2028,prennent,takes
2029,impact,impact
2030,modèles,models
2031,plans,blueprints
2032,diable,devil
2034,crainte,fear
2035,minute,minute
2036,pierres,stones
2037,jolie,pretty one
2038,aise,easy
2039,malheureusement,sadly
2040,os,bone
2041,instruction,instruction
2042,vive,long live
2043,salariés,employees
2044,égalité,equality
2046,clé; clef,key
2047,sable,sand
2048,augmentation,increase
2049,écart,difference
2050,devons,have to
2051,thème,theme
2052,saurait; saurais,would know
2053,avocat,lawyer
2054,principalement,principally
2055,asseoir,sit
2056,apparition,appearance
2057,compréhension,understanding
2060,époux,husband
2061,préparation,preparation
2062,déclare; déclara; déclaré,declared
2063,sourcils,eyebrows
2064,règne,reign
2066,trace,trace
2067,puissant; puissante; puissants; puissantes,powerful
2068,repos,rest
2069,règlement,settlement
2070,collectif; collective; collectifs; collectives,collective
2071,critère; critères,criteria
2072,écoles,schools
2073,fauteuil,armchair
2074,prier; prie,pray
2075,nomme; nommé; nommés,appointed
2076,organisations,organizations
2077,raconter,to tell about
2078,observation,observation
2079,espaces,spaces
2081,danse,dance
2082,club,club
2083,gestes,gestures
2084,rang,rank
2085,maintenir,maintain
2086,explication,explanation
2087,transport,transportation
2088,angoisse,anguish
2089,profiter,to profit from
2090,niveaux,levels
2091,inverse,reverse
2092,sensible; sensibles,sensitive
2093,repose,rests
2094,occupe,to keep busy
2095,bus,bus
2096,bande,bandaged
2097,haine,hate
2098,transformation,transformation
2100,impose; imposé; imposée; imposées; imposait,imposed
2101,tension,tension
2102,dépenses,expenses
2103,instants,moments
2105,intégration,integration
2106,paraître; paraissent,appear
2107,porté,gate
2108,peinture,paint
2109,humeur,mood
2110,réduit; réduits,reduced
2111,allaient; allions,were going
2112,mine,mine
2113,pur; pure,pure
2114,retenir,to hold onto
2115,sites,sites
2116,poursuivre,to chase
2117,cacher,to hide
2118,normes,standards
2120,forcément,necessarily
2121,dirait; dirais,would say
2122,angle,angle
2123,complet; complète; complètes,complete
2124,vérifier,check
2125,Israël,Israel
2126,imagine; imaginé,conceived
2127,publié; publiée; publiés; publiées,published
2128,intéressant; intéressante; intéressants; intéressantes,interesting
2129,relativement,relatively
2130,venus,Venus
2131,lié; liés; lie,related
2132,horizon,horizon
2133,nulle,nothing
2134,conflits,conflicts
2135,reprises,occasions
2136,soumis; soumise; soumises,submitted
2137,thèse,thesis
2138,communes,municipalities
2139,battre,to beat
2141,bête,stupid
2143,changements,changes
2144,printemps,spring
2145,appelait,was calling
2146,catholique,Catholic
2147,médecine,medicine
2148,manifester; manifeste; manifesté,manifest
2150,exposition,exposure
2151,charme,charm
2152,catégories,categories
2153,matières,materials
2154,ennemis,enemies
2155,Russie,Russia
2156,glace,ice
