front,back
united,"zjednoczony, zgodny, jednolity"
found,"zakładać, założyć, fundować, ufundować"
data,dane
means,"środek, zasób, możliwość, sposób"
federal,federalny
god,"bóg, bóstwo, bożek"
commission,"komisja, zlecenie, zarządzenie, zlecać"
energy,energia
community,społeczność
particular,"szczególny, specyficzny, określony, szczegółowy, poszczególny, indywidualny"
project,"projekt, plan, planować, projektować, przewidywać, prognozować"
related,"powiązany, spokrewniony"
contract,"kontrakt, umowa, kurczyć, zaciskać"
division,"podział, dywizja, oddział, dział"
corporation,korporacja
stock,"zapas, akcja, bulion, zaopatrywać"
proposed,"proponować, proponowany, zaproponowany"
species,gatunek
employees,pracownicy
provisions,"postanowienia, przepisy"
western,"western, zachodni"
factors,czynniki
determined,"zdeterminowany, zdecydowany"
reference,"wzmianka, odsyłacz, referencja, odniesienie, bibliografia, odnosić się"
planning,planowanie
expected,przewidywany
technical,techniczny
conference,"konferencja, zebranie, narada"
prior,"poprzedni, wcześniejszy"
motion,"ruch, wniosek, gest"
primary,"podstawowy, główny"
trial,"proces sądowy, rozprawa, próba"
acid,"kwas, LSD, substancja, kwaśny, kwasowy, jadowity"
soil,"gleba, pobrudzić"
learning,"wiedza, nauka, uczenie się, uczyć się"
investment,"inwestycja, lokata, inwestycyjny"
payment,płatność
existing,istniejący
facilities,"pomieszczenie, obiekt, toaleta"
environment,"otoczenie, środowisko, medium, ośrodek, żywioł"
minister,"minister, poseł nadzwyczajny, minister pełnomocny"
actual,"rzeczywisty, realny, prawdziwy, faktyczny"
cause,"przyczyna, powód, powodować, wywoływać"
procedure,procedura
phase,"faza, etap, stadium"
trust,"ufać, polegać na, powierzać, mieć nadzieję, zaufanie, powierzenie, syndykat, kartel"
mass,"msza, masa, masowy"
executive,"wykonawczy, kierowniczy, wykonawca, egzekutywa, zarząd"
senator,senator
institutions,instytucje
index,"indeks, wskaźnik, współczynnik, wykładnik"
employed,zatrudniony
estate,"posiadłość, majątek, nieruchomość"
circumstances,okoliczności
portion,"porcja, część, udział"
formation,"formowanie, kształtowanie, formacja"
fixed,"stały, niezmienny, ustalony"
initial,"początkowy, wstępny, inicjał"
resolution,"rozwiązanie, uchwała, rezolucja, rozdzielczość"
entitled,"uprawniony, zatytułowany"
chief,"szef, naczelny, główny, wodzowski"
transfer,"transfer, przeniesienie, przekazanie, przesiadka"
adopted,"adoptowany, przyjęty"
constant,"stały, niezmienny"
domestic,"krajowy, domowy"
estimated,"szacowany, przewidywany"
concerning,"odnośnie, dotyczący"
regard,"szacunek, uważać, traktować"
growing,"rosnący, rozwijający się"
personnel,personel
master,"mistrz, pan, opanować, magister"
output,"produkcja, wydajność, wyjście, dane wyjściowe, produkować, wysyłać, wyjściowy"
commerce,"handel, wymiana handlowa, sprzedaż, działalność handlowa, handlować"
deep,"głęboki, głęboko, głębia"
assembly,"zebranie, zgromadzenie, apel, montaż"
neither,"żaden, ani"
legislation,"legislacja, ustawodawstwo"
reaction,reakcja
assessment,"oszacowanie, ocena"
administrative,administracyjny
revenue,przychód
fiscal,"fiskalny, skarbowy"
urban,miejski
soviet,"sowiecki, radziecki"
potential,"potencjał, potencjalny"
evaluation,"ewaluacja, ocena, badanie"
compensation,"kompensacja, wyrównanie, rekompensata, kompensata, rozliczenie, odszkodowanie"
purchase,"zakup, kupować"
rural,"wiejski, sielski"
remains,"pozostałość, resztki, szczątki"
publication,"publikacja, wydawnictwo"
relief,"ulga, odciążenie, pomoc, relief, płaskorzeźba, ukojenie"
faith,"wiara, zaufanie, ufność, lojalność, oddanie, wyznanie"
secondary,"drugorzędny, wtórny, poboczny"
statistics,"statystyka, statystyki"
previously,"wcześniej, poprzednio"
living,"życie, żywy, koszty utrzymania, środki do życia, utrzymanie"
somewhat,"trochę, nieco, w pewnym stopniu, poniekąd"
resistance,"opór, sprzeciw, odporność, rezystancja, ruch oporu, organizacja konspiracyjna"
authorized,"upoważniony, autoryzowany, pełnomocny"
whereas,"podczas gdy, natomiast"
media,"media, środki masowego przekazu, mass media"
percentage,"procent, odsetek"
convention,"konwencja, zjazd, zgromadzenie, konwenans, obrządek"
circuit,"obwód, cykl, tor wyścigowy, obwód elektryczny"
latter,"drugi, ten drugi, późniejszy"
loan,"pożyczka, zapożyczenie, pożyczać, pożyczyć"
tons,"tony, mnóstwo"
components,"komponent, składnik, element, część składowa"
manufacturing,"produkcja, wytwarzanie, produkcyjny"
sector,"sektor, strefa, wycinek, obszar"
