external_id,front_text,back_text
0001,and,"i, a, potem, coraz"
0002,in,"w, na, do, wnętrze, środek, w ciągu, za, po, z, spośród, dziedzina, wewnątrz, wpływy, władza, pozycja, ktoś, wpływowy, stan"
0003,is,jest
0004,that,"tamten, ten, ta, to, oto, który, że, iż, tak"
0005,for,"dla, za, w, strona, przez, z powodu, reprezentować, symbolizować, ponieważ, bo"
0006,it,"to, on, ona, ono, tu, koniec, berek, szukający, jego, swój, kastrat"
0007,with,"z, przez"
0008,on,"na, o, w, z, na koszt, pod, zaraz, po, włączony, zgodny, plan, rozpocząć, aby, włączyć, dalej, naprzód, za, później"
0009,by,"przez, przy, obok, w, pobliże, podczas, do, przed, po, za, na, według, gdzieś, tu, tam, później"
0010,not,"nie, a"
0011,or,"lub, albo, ani, czy, bo, kolor, złoty"
0012,this,"ten, ta, to, taki, tak"
0013,from,"od, z, powód, w, wynik, na, przed"
0014,he,on
0015,which,"który, co"
0016,an,"jakiś, pewien"
0017,have,"mieć, zawierać, charakteryzować się, otrzymać, wziąć, poczęstować się, wydać, polecenie, niech, odzyskać, obfitować"
0018,his,"jego, swój"
0019,but,"ale, oprócz, tylko, zaledwie"
0020,you,"ty, pan, pani, wy, państwo, twój, swój, wasz"
0021,we,my
0022,they,"oni, one"
0023,all,"wszyscy, wszystkie, cały, wszystko, całkowicie, zupełnie"
0024,one,"jeden, jedynka, banknot, jednodolarowy, pierścień, ktoś, lub, coś, dobrze pasować, wyjątkowy"
0025,their,"ich, swój"
0026,can,"móc, umieć, potrafić, wiedzieć"
0027,there,tam
0028,other,"inny, drugi, ktoś"
0029,if,"jeśli, gdyby, nawet, czy, choć, chociaż, warunek, wątpliwość, niepewność"
0030,would,"byłby ,by, chcieć, woleć"
0031,her,"jej, swój, ona, ją"
0032,may,"może ,móc, oby, niech, być w stanie"
0033,when,"kiedy, wtedy, gdy, gdy tylko, czas"
0034,no,"nie, ani trochę, żadną miarą, żaden, zakaz, brak, odmowa, głos"
0035,these,"ci, te, te"
0036,new,nowy
0037,she,ona
0038,who,"kto, który"
0039,than,"niż, od"
0040,any,"jakiś, jakikolwiek, którykolwiek, każdy, choć, trochę, jeszcze"
0041,time,"czas, okres, moment, chwila, raz, takt, czasowy, mierzyć, trwanie"
0042,do,"robić, wystarczać, nadawać się"
0043,what,"co, jaki, kto, dlaczego, to, cóż"
0044,some,"trochę, kilka, niektóry, niektórzy"
0045,also,"też, także, również"
0046,about,"o, z, ze, przy, po, ku, około, dookoła, w trakcie, wokół"
0047,only,"tylko, jedynie, jedyny"
0048,into,"do, w, na"
0049,out,"na zewnątrz, z, ze, zewnętrzny, wypuścić, poza, dom, wyjście, ujawnić"
0050,two,"dwa, dwójka, banknot, dwudolarowy, dwulatek"
0051,my,"mój, swój, o rany, ojej"
0052,them,"ich, nich, im, nimi, siebie, sobie"
0053,him,"jego, go, on, mu, nim"
0054,first,"pierwszy, po pierwsze, najpierw"
0055,see,"widzieć, zobaczyć, ujrzeć, zobacz, zauważyć, spostrzec, rozumieć, odwiedzać"
0056,our,"nasz, swój"
0057,under,"pod, poniżej, mniej niż"
0058,should,"powinien, należy"
0059,up,"do góry, w górę, wzwyż, kompletnie"
0060,could,"mógłby, móc, umieć, potrafić"
0061,after,"po, za, potem, późno, późny, zanim, nim"
0062,then,"wtedy, wówczas, potem, następnie, dodatkowo"
0063,between,"między, pomiędzy"
0064,your,"twój, swój, pani, pan, wasz, państwo"
0065,me,"ja, mnie, sobą, sobie"
0066,over,"nad, na, przez, po, za, ponad, przekraczać, podczas, przy"
0067,work,"pracować, funkcjonować, dzieło, praca"
0068,where,"gdzie, dokąd, podczas gdy"
0069,each,"każdy, pojedynczy"
0070,year,rok
0071,now,"teraz, no, więc"
0072,those,"tamci, tamte, ta"
0073,many,"wiele, dużo, liczna, wielu"
0074,through,"przez, poprzez, dzięki, w czasie, po"
0075,like,"jak, podobny, lubić, chciać, na przykład"
0076,well,"dobrze, studnia, więc, no"
0077,same,"taki sam, ten sam, to samo, tak samo"
0078,must,"musieć, konieczność, musi"
0079,very,"bardzo, rzeczywiście"
0080,because,"ponieważ, bo, gdyż, z powodu"
0081,before,"przed, wcześniej, zanim, nim"
0082,people,ludzie
0083,how,"jak, ile, dlaczego"
0084,both,"obaj, oboje, obie, oba"
0085,number,"liczba, numer, pewien, ilość, wiele, numerować, liczyć, ileś"
0086,much,"dużo, wiele, bardzo, o wiele"
0087,case,"pudełko, skrzynia, sprawa, przypadek, futerał, pokrowiec, walizka, teczka, litera, pakować"
0088,way,"droga, szlak, kierunek, przejście, przejazd, podróż, sposób, postępowanie, zwyczaj, bardzo, dalece, zdecydowanie"
0089,three,"trzy, 3, trójka, troje, trzylatek, trzylatka"
0090,section,"sekcja, część, dział, odcinek, fragment, paragraf, wycinek, cząstka, przekrój, ciąć, pociąć"
0091,life,"życie, trwałość, żywotność"
0092,water,"woda, podlewać, polewać, wodny"
0093,day,"dzień, doba, dniówka, okres"
0094,high,"wysoki, wysoko"
0095,just,"tylko, właśnie, dopiero co, sprawiedliwy, rzetelny, właściwy"
0096,man,"mężczyzna, człowiek, osoba, pionek, kumpel"
0097,order,"zamówienie, rozkaz, porządek, zakon, klasa, kolejność, zamawiać, rozkazywać, porządkować"
0098,world,świat
0099,us,"nas, nam, nami"
0100,good,"dobro, pożytek, dobry, właściwy, korzystny, uczciwy, grzeczny, smaczny, dobrze"
0101,great,"wielki, świetny, wspaniały, świetnie, wspaniale"
0102,information,"informacja, zawiadomienie, informacje"
0103,here,"tu, tutaj, oto"
0104,own,"własny, posiadać, przyznać się"
0105,know,"wiedzieć, znać, pamiętać, rozumieć, doświadczać, wiedza"
0106,another,"kolejny, następny, dodatkowy, inny, drugi, nowy"
0107,back,"plecy, tył, grzbiet, obrońca, oparcie, zawracać, wspierać, tylny, z powrotem"
0108,school,"szkoła, ławica, więzienie, szkolić, trenować, dawać szkołę, kształcić, wykazywać wyższość"
0109,american,"Amerykanin, Amerykanka, amerykański"
0110,take,"wziąć, chwycić, łapać, zabrać, przyjąć, użyć, spożywać, przejąć, odjąć"
0111,small,"mały, niewielki"
0112,different,"inny, odmienny, różny"
0113,large,"duży, ogromny, obszerny, liczny"
0114,house,"dom, budynek, izba, firma, ród, muzyka house"
0115,city,"miasto, metropolia"
0116,little,"mały, mało, niewiele"
0117,business,"biznes, interes, sprawa, firma, przedsiębiorstwo, biznesowy"
0118,men,"mężczyźni, ludzie"
0119,get,"dostać, otrzymać, stać się, rozumieć, zdobyć, zarobić, dotrzeć, odebrać, przynieść"
0120,every,każdy
0121,social,"społeczny, socjalny, stadny, gromadny, towarzyski"
0122,place,"miejsce, lokal, umieszczać, kłaść, określić, umiejscowić"
0123,too,"za, zbyt, nadmiernie, strasznie, nad wyraz, bardzo, także"
0124,group,"grupa, grupować"
0125,point,"punkt, sedno, istota, rzecz, kropka, celować, wskazywać"
0126,old,"stary, dawny, doświadczony, były, poprzedni"
0127,children,dzieci
0128,long,"długi, długo, długoterminowy"
0129,think,"myśleć, pomyśleć, zastanawiać się, sądzić, uważać, przypuszczać, wyobrażać sobie, mieć na myśli, zamierzać"
0130,important,"ważny, istotny"
0131,table,"stół, tabela, tabliczka, stołowy, towarzystwo"
0132,come,"przyjść ,przychodzić, przybywać, pochodzić, pojawiać się, dochodzić, doświadczyć"
0133,period,"okres, epoka, lekcja, miesiączka, kropka"
0134,go,"iść, idź, wyjść, podróżować, poruszać się, umierać, pasować, działać, powodzić się, ruch, zgoda"
0135,program,"program, programować, planować"
0136,office,"biuro, urząd"
0137,war,"wojna, konflikt, wojenka, toczyć, toczyć się"
0138,end,"koniec, zakończenie, kres, granica, skończyć, zakończyć się"
0139,second,"drugi, sekunda, chwila, po drugie"
0140,health,"zdrowie, stan zdrowia, kondycja"
0141,never,"nigdy, wcale, w ogóle"
0142,board,"tablica, deska, płyta, rada, pokład, wikt"
0143,form,"kształt, formularz, forma, figura, klasa, formatka, uformować, ustanowić, kształtować"
0144,until,"aż, dopóki"
0145,again,"ponownie, znowu, znów"
0146,action,"akcja, działanie, czynność, ruch, postępowanie"
0147,four,"cztery, 4, czwórka, czterolatek, czterolatka"
0148,example,"przykład, wzór"
0149,home,"dom, domowy, ojczyzna"
0150,hand,"ręka, dłoń, strona, wskaźnik, pomoc, wpływ, kontrola, rozdanie, wręczyć"
0151,called,zwany
0152,course,"kurs, przebieg, tor, danie"
0153,line,"linia, kolejka, rząd, przewód, tor, trasa"
0154,change,"zmiana, drobne, zmieniać, rozmieniać"
0155,women,kobiety
0156,person,"osoba, człowiek"
0157,question,"pytanie, kwestia, wątpliwość, kwestionować, pytać"
0158,family,rodzina
0159,often,często
0160,special,"specjalny, wyjątkowy, szczególny"
0161,history,historia
0162,right,"właściwy, poprawny, prawo, mieć rację, prawda"
0163,subject,"podmiot, przedmiot, temat, podległy"
0164,others,"inni, inne"
0165,best,"dobry, najlepszy, usilny, mistrz"
0166,held,"trzymać, odbyć się, trzymany"
0167,set,"zestaw, zbiór, ustawić"
0168,side,"strona, bok, drużyna, angażować się"
0169,left,"lewy, lewicowy, w lewo"
0170,always,"zawsze, stale"
0171,five,"pięć, 5, piątka, pięciolatek"
0172,field,"pole, teren, boisko, odpowiadać"
0173,book,"książka, rezerwować, księgować, meldować się"
0174,due,"należny, spodziewany"
0175,full,"pełny, napełniony"
0176,name,"imię, nazwisko, nazwa, nazywać"
0177,type,"typ, rodzaj, czcionka, pisać"
0178,head,"głowa, kierować, nagłówek"
0179,put,"kłaść, wkładać, umieszczać, formułować, umieścić"
0180,why,"dlaczego, powód"
0181,body,"ciało, organizm, grupa, kadłub"
0182,problem,"problem, zadanie, kwestia"
0183,white,"biały, biel, jasny, białko, jajo, wino"
0184,above,"nad, ponad, powyżej, powyższy"
0185,let,"niech, pozwalać, wpuszczać, wypuszczać, przepuszczać"
0186,light,"światło, lampa, źródło światła, jasny, lekki, lekkostrawny, zapalać, rozpalać, oświetlać"
0187,become,"stać się, zostać, nadchodzić"
0188,age,"wiek, epoka, era, starość, starzeć się, postarzać"
0189,matter,"materia, substancja, materiał, sprawa, kwestia, temat, mieć znaczenie"
0190,class,"klasa, lekcja, kurs, gromada"
0191,things,"rzeczy, przedmioty, sprawy, drobiazgi"
0192,away,"z dala, daleko, precz, stąd, poza, oddalać się, wyjechać, wyruszyć"
0193,want,"chcieć, pragnąć, pożądać, potrzeba"
0194,shown,"pokazany, wyświetlony, ukazany, pokazane"
0195,foreign,"obcy, zagraniczny"
0196,something,coś
0197,later,"późno, późny, później"
0198,june,czerwiec
0199,party,"przyjęcie, impreza, partia, strona, uczestnik, imprezować"
0200,once,"kiedyś, raz, kiedy"
0201,money,"pieniądz, pieniądze"
0202,young,młody
0203,words,"słowa, rozmowa, dyskusja, tekst"
0204,open,"otwierać, otwarty, jawny, publiczny, otwarcie"
0205,free,"wolny, bezpłatny, swobodny, darmowy, uwolnić, zwolnić, swobodnie, darmowo"
0206,real,"realny, rzeczywisty, prawdziwy, autentyczny, naprawdę"
0207,together,"razem, wspólnie"
0208,paper,"papier, gazeta, dokument, referat, egzamin pisemny, papierowy, pakować"
0209,building,budynek
0210,yet,"jeszcze, wciąż, jednak, choć"
0211,almost,"prawie, o mało"
0212,price,"cena, kurs, koszt, wyznaczać, oceniać, wyceniać"
0213,room,"pokój, pomieszczenie, miejsce, przestrzeń, możliwość"
0214,look,"patrzeć, spojrzeć, spoglądać, wyglądać, wydawać się, spojrzenie, wygląd"
0215,already,już
0216,around,"dookoła, wokół, w pobliżu, wokoło"
0217,date,"data, randka, termin, datować, datownik"
0218,bank,"bank, bankier, brzeg, skarpa, nasyp, ławica, wpłacać, bankowy"
0219,students,"studenci, uczniowie"
0220,asked,"pytać, zapytać, zapytany, zapytano"
0221,food,"jedzenie, żywność, pożywienie, żywnościowy"
0222,nothing,"nic, zero"
0223,street,"ulica, droga, uliczny"
0224,plan,"plan, rozkład, planować, zaplanować"
0225,self,"jaźń, siebie, własny"
0226,july,lipiec
0227,note,"notatka, liścik, przypis, nuta, ton, nota, banknot, ogłoszenie, rachunek, uwaga, zauważyć, notować"
0228,black,"czarny, czerń, murzyński, czernieć"
0229,college,"uczelnia ,szkoła wyższa, uniwersytet, wydział,"
0230,true,"prawdziwy, dokładny, ścisły, prawdziwie, dokładnie, prawda"
0231,short,"krótki, niski, krótkometrażowy, krótka sprzedaż, krótko, nagle"
0232,pay,"zapłacić, płacić, zwracać, opłacać się, ponosić, płaca, wynagrodzenie, pensja, płatny"
0233,read,"czytać, czytaj, odczytać, studiować, interpretować, brzmieć"
0234,care,"opieka, troska, dbałość, ostrożność, troszczyć się, dbać, pielęgnować"
0235,test,"test, próba, sprawdzian, klasówka, kartkówka, badanie, testować, badać, egzaminować"
0236,river,rzeka
0237,reason,"powód, przyczyna, rozum, rozsądek, racja, uzasadniać, dowodzić, przekonywać"
0238,church,"Kościół, kościół, nabożeństwo"
0239,language,"język, mowa, styl, słownictwo"
0240,practice,"praktyka, zwyczaj, ćwiczenie, praktykować, trenować"
0241,science,"nauka, dyscyplina, naukowy"
0242,months,"miesiąc, miesiące"
0243,activities,"działania, czynności, aktywności"
0244,whose,"czyj, czyja, czyje, którego"
0245,size,"rozmiar, wielkość"
0246,six,"sześć, 6, szóstka"
0247,love,"miłość, kochać, uwielbiać, lubić"
0248,father,"ojciec, przodek, zrodzić, spłodzić, usynowić"
0249,kind,"rodzaj, typ, uprzejmy, miły, życzliwy"
0250,british,"brytyjski, Brytyjczyk, Brytyjka"
0251,told,"powiedział, powiedziany"
0252,usually,zwykle
0253,design,"projekt, wzór, projektować, projektowanie"
0254,described,opisany
0255,eyes,"oko, oczy"
0256,personal,"osobisty, prywatny, własny, indywidualny"
0257,art,"sztuka, dzieło"
0258,below,"poniżej, niżej"
0259,hours,"godzina, godziny"
0260,america,Ameryka
0261,meeting,spotkanie
0262,fig,figa
0263,ground,"ziemia, grunt, teren, podstawa"
0264,page,"strona, karta"
0265,night,"noc, wieczór, zmrok, nocny"
0266,face,"twarz, oblicze, mina, stawiać czoło"
0267,mind,"umysł, pamięć, rozum, myśleć"
0268,brought,"przywieziony ,przyniósł, przywiózł"
0269,review,"omówienie, przegląd, recenzja, inspekcja, sprawdzenie, rewizja, omawiać, recenzować, rewidować, przetrząsać, sprawdzać"
0270,believe,"wierzyć, myśleć, przypuszczać"
0271,mother,"matka, pramatka, źródło, troszczyć się, matkować, niańczyć"
0272,close,"zamknąć, zakończyć, bliski, podobny, zażyły, zamknięty"
0273,keep,"trzymać, mieć, posiadać, utrzymywać, opiekować się, zachowywać, zachowaćpowstrzymywać się"
0274,april,kwiecień
0275,rule,"reguła, zasada, linijka, rządzić"
0276,workers,pracownicy
0277,help,"pomoc, pomocny, pomagać, pomóc"
0278,congress,"kongres, zjazd"
0279,really,"naprawdę, istotnie, rzeczywiście"
0280,king,"król, dama, koronować, królować, promować"
0281,role,rola
0282,january,styczeń
0283,article,"artykuł, przedmiot, wyrób, paragraf, reguła, rodzajnik"
0284,today,"dzisiaj, dziś"
0285,december,grudzień
0286,library,"biblioteka, biblioteczny"
0287,near,"blisko, niedaleko, w pobliżu, zbliżać się"
0288,began,"zacząć, zaczął, zaczynać, rozpocząć, rozpoczywać się"
0289,letter,"list, litera, pismo, dokument"
0290,heart,"serce, sedno, centrum, otucha"
0291,late,"późny, spóźniony, ostatni, późno"
0292,code,"kod, norma, kodować"
0293,lord,"lord, pan, dominować"
0294,felt,"filc, filcowy, kapelusz"
0295,english,angielski
0296,added,"dodany, dodać, dodano"
0297,town,"miasto, miasteczko"
0298,strong,"silny, mocny"
0299,fire,"ogień, pożar, strzelać, zapalać"
0300,october,październik
0301,soon,"wkrótce, niedługo, prędzej"
0302,sir,"pan, proszę pana"
0303,french,"francuski, Francuz"
0304,hard,"trudny, twardy, ciężki, ciężko, trudno"
0305,week,tydzień
0306,carried,"niósł, przenosił, przeniesiony"
0307,september,wrzesień
0308,anything,"coś, cokolwiek"
0309,england,Anglia
0310,difficult,trudny
0311,technology,technologia
0312,turn,"zakręt, obrót, zmiana, kolejka, kręcić, obracać się, zmieniać się, zwrot"
0313,defendant,"pozwany, oskarżony"
0314,job,"praca, zawód, zadanie, etat"
0315,vol,tom
0316,idea,"myśl, pomysł, idea, pojęcie, koncepcja"
0317,answer,"odpowiedź, rozwiązanie, odpowiadać"
0318,story,"historia, opowieść, fabuła"
0319,list,"lista, spis, wykaz"
0320,longer,"dłuższy, dłużej"
0321,sales,"sprzedaż, obrót"
0322,son,syn
0323,run,"biec, prowadzić, uciekać, bieg, przebieg, biegać"
0324,sea,morze
0325,ten,"dziesięć, 10, dziesiątka"
0326,meet,"spotkać, spełniać, spotkanie, spotkać się"
0327,august,sierpień
0328,reading,"czytanie, odczyt, interpretacja"
0329,half,"połowa, połówka, pół"
0330,post,"poczta, słup, stanowisko, wysłać"
0331,moment,"moment, chwila"
0332,difference,różnica
0333,twenty,"dwadzieścia, 20"
0334,sure,"pewny, pewnie, na pewno, oczywiście"
0335,behind,"za, z tyłu, w tyle"
0336,character,"postać, znak, charakter"
0337,stage,"etap, scena"
0338,big,duży
0339,play,"grać, bawić się, sztuka, przedstawienie"
0340,wife,żona
0341,heard,"usłyszeć, usłyszany, słyszałem"
0342,officer,"oficer, urzędnik, funkcjonariusz, dowódca"
0343,door,drzwi
0344,site,"miejsce, teren, lokacja, sieciowa, strona WWW, umiejscawiać, umiejscowić"
0345,november,listopad
0346,hospital,szpital
0347,poor,"biedny, kiepski, słaby"
0348,box,"pudełko, skrzynka, futerał, boks, loża, kabina, budka, ramka, obudowa, komputer, ochraniacz, uderzenie, pięść, bukszpan, pole karne, zapakować, boksować"
0349,canada,Kanada
0350,car,"samochód, samochód osobowy, wagon"
