external_id,front_text,back_text
0001,united,"zjednoczony, zgodny, jednolity"
0002,found,"zakładać, założyć, fundować, ufundować, znaleziony"
0003,data,dane
0004,means,"oznacza, środek, zasób, możliwość, sposób"
0005,federal,federalny
0006,god,"bóg, bóstwo, bożek"
0007,commission,"komisja, zlecenie, zarządzenie, zlecać, prowizja"
0008,energy,energia
0009,community,społeczność
0010,particular,"szczególny, specyficzny, określony, szczegółowy, poszczególny, indywidualny"
0011,project,"projekt, plan, planować, projektować, przewidywać, prognozować"
0012,related,"powiązany, spokrewniony, związane"
0013,contract,"kontrakt, umowa, kurczyć, zaciskać"
0014,division,"podział, dywizja, oddział, dział"
0015,corporation,korporacja
0016,stock,"zapas, akcja, bulion, zaopatrywać, zapasy"
0017,proposed,"proponować, proponowany, zaproponowany"
0018,species,"gatunek, gatunki"
0019,employees,pracownicy
0020,provisions,"postanowienia, przepisy"
0021,western,"western, zachodni"
0022,factors,czynniki
0023,determined,"zdeterminowany, zdecydowany"
0024,reference,"wzmianka, odsyłacz, referencja, odniesienie, bibliografia, odnosić się"
0025,planning,planowanie
0026,expected,"przewidywany, oczekiwany"
0027,technical,techniczny
0028,conference,"konferencja, zebranie, narada"
0029,prior,"poprzedni, wcześniejszy"
0030,motion,"ruch, wniosek, gest"
0031,primary,"podstawowy, główny"
0032,trial,"proces sądowy, rozprawa, próba, proces"
0033,acid,"kwas, LSD, substancja, kwaśny, kwasowy, jadowity"
0034,soil,"gleba, pobrudzić"
0035,learning,"wiedza, nauka, uczenie się, uczyć się"
0036,investment,"inwestycja, lokata, inwestycyjny"
0037,payment,płatność
0038,existing,istniejący
0039,facilities,"pomieszczenie, obiekt, toaleta, obiekty"
0040,environment,"otoczenie, środowisko, medium, ośrodek, żywioł"
0041,minister,"minister, poseł nadzwyczajny, minister pełnomocny"
0042,actual,"rzeczywisty, realny, prawdziwy, faktyczny"
0043,cause,"przyczyna, powód, powodować, wywoływać"
0044,procedure,procedura
0045,phase,"faza, etap, stadium"
0046,trust,"ufać, polegać na, powierzać, mieć nadzieję, zaufanie, powierzenie, syndykat, kartel"
0047,mass,"msza, masa, masowy"
0048,executive,"wykonawczy, kierowniczy, wykonawca, egzekutywa, zarząd, kierownictwo"
0049,senator,senator
0050,institutions,instytucje
0051,index,"indeks, wskaźnik, współczynnik, wykładnik"
0052,employed,zatrudniony
0053,estate,"posiadłość, majątek, nieruchomość"
0054,circumstances,okoliczności
0055,portion,"porcja, część, udział"
0056,formation,"formowanie, kształtowanie, formacja"
0057,fixed,"stały, niezmienny, ustalony"
0058,initial,"początkowy, wstępny, inicjał"
0059,resolution,"rozwiązanie, uchwała, rezolucja, rozdzielczość"
0060,entitled,"uprawniony, zatytułowany"
0061,chief,"szef, naczelny, główny, wodzowski"
0062,transfer,"transfer, przeniesienie, przekazanie, przesiadka"
0063,adopted,"adoptowany, przyjęty"
0064,constant,"stały, niezmienny"
0065,domestic,"krajowy, domowy"
0066,estimated,"szacowany, przewidywany"
0067,concerning,"odnośnie, dotyczący"
0068,regard,"szacunek, uważać, traktować"
0069,growing,"rosnący, rozwijający się"
0070,personnel,personel
0071,master,"mistrz, pan, opanować, magister"
0072,output,"produkcja, wydajność, wyjście, dane wyjściowe, produkować, wysyłać, wyjściowy"
0073,commerce,"handel, wymiana handlowa, sprzedaż, działalność handlowa, handlować"
0074,deep,"głęboki, głęboko, głębia"
0075,assembly,"zebranie, zgromadzenie, apel, montaż"
0076,neither,"żaden, ani"
0077,legislation,"legislacja, ustawodawstwo"
0078,reaction,reakcja
0079,assessment,"oszacowanie, ocena"
0080,administrative,administracyjny
0081,revenue,przychód
0082,fiscal,"fiskalny, skarbowy"
0083,urban,miejski
